"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"ENSG00000212907"	5.64255473781848	10.7719464531024	20.8720691090813	4.94825988197513e-06	0.0189864731671386
"ENSG00000234287"	5.26845911549774	10.5649183282464	14.9792470162506	0.000109149899118832	0.14979346781392
"ENSG00000198886"	-1.48109687411689	12.0931611491108	14.9626780696093	0.000117117644889695	0.14979346781392
"ENSG00000244734"	1.0938100112917	12.4349845112414	11.579216916853	0.000724778111953874	0.535040692658716
"ENSG00000105372"	0.863072455166907	12.9845824267991	10.9359815958467	0.000945311221296323	0.535040692658716
"ENSG00000206172"	1.06785670879622	12.4197431007766	10.9382678090097	0.00101791608734626	0.535040692658716
"ENSG00000188536"	-4.89501102167724	10.3880095179567	10.7790787793132	0.00102883305923359	0.535040692658716
"ENSG00000198918"	0.953873853715283	12.6065878585883	10.2090504523765	0.00150329705822414	0.535040692658716
"ENSG00000177954"	-0.584447378469609	13.7527760635061	8.03221835607498	0.00460125047395197	0.535040692658716
"ENSG00000268173"	0.972921674273316	12.1130774121911	7.15598357195394	0.00771012030271514	0.535040692658716
"ENSG00000167526"	0.626022318900858	13.2227513881568	6.7929589783517	0.0091606517191625	0.535040692658716
"ENSG00000198840"	0.800481759177977	12.3565882147348	6.00504179184863	0.0148499763705327	0.535040692658716
"ENSG00000265681"	4.12617863836166	10.034938062008	5.89310644538436	0.0152116875265023	0.535040692658716
"ENSG00000131495"	4.11088348906069	10.0346875525273	5.84976682184988	0.0155906729902236	0.535040692658716
"ENSG00000157514"	-4.06355064531421	10.0345183513377	5.56909280043488	0.0182926735198969	0.535040692658716
"ENSG00000145425"	0.643911154697382	12.7102945671487	5.17024291204774	0.0238669960638049	0.535040692658716
"ENSG00000054148"	3.86936951040639	9.95229588513747	4.85768282933228	0.0275380678379427	0.535040692658716
"ENSG00000130066"	3.86703432550174	9.95225410257828	4.8520922898246	0.0276274271728399	0.535040692658716
"ENSG00000131236"	-3.81827383207935	9.95208419337498	4.6118212754683	0.031767904865995	0.535040692658716
"ENSG00000105669"	-3.81810081758825	9.95208095695387	4.6114206383726	0.031775325000223	0.535040692658716
"ENSG00000129559"	-3.81792781697012	9.95207772053985	4.61102006334273	0.0317827457931091	0.535040692658716
"ENSG00000130522"	-3.81775566911691	9.95207452331071	4.61062234340133	0.0317901154836876	0.535040692658716
"ENSG00000107738"	-3.81758269630578	9.95207128691079	4.61022189222989	0.031797537585228	0.535040692658716
"ENSG00000136888"	-3.81706470024028	9.95206161693105	4.60902370293585	0.0318197560448714	0.535040692658716
"ENSG00000132432"	-3.81689178297415	9.95205838055942	4.60862349957862	0.0318271807700713	0.535040692658716
"ENSG00000215301"	-3.81689178297415	9.95205838055942	4.60862349957862	0.0318271807700713	0.535040692658716
"ENSG00000177600"	0.588534527648225	12.7722252907976	4.53202740323579	0.034229320956354	0.535040692658716
"ENSG00000162704"	-2.56397316810404	10.2568370995951	4.15838277049538	0.0414460363364651	0.535040692658716
"ENSG00000143947"	-0.588711270083111	12.6714656568733	4.17282390614517	0.0424440990524514	0.535040692658716
"ENSG00000118181"	-1.1600930498101	11.1498764117123	3.9156158668767	0.0478573305126988	0.535040692658716
"ENSG00000169727"	3.57315461011251	9.86483400140925	3.79562057936356	0.0514050229607164	0.535040692658716
"ENSG00000162645"	3.5723288458449	9.86482005222294	3.79407132534778	0.0514526042723954	0.535040692658716
"ENSG00000166598"	3.57073525634492	9.86479219353979	3.79105085844574	0.0515455040677154	0.535040692658716
"ENSG00000168522"	3.57073525634492	9.86479219353979	3.79105085844574	0.0515455040677154	0.535040692658716
"ENSG00000105205"	3.569910470618	9.8647782447505	3.78950496632405	0.051593119339581	0.535040692658716
"ENSG00000162521"	3.56914284082092	9.86476433538336	3.78803464278293	0.0516384501864787	0.535040692658716
"ENSG00000110330"	3.5683186899288	9.86475038685839	3.78649095759017	0.0516860881550324	0.535040692658716
"ENSG00000113013"	3.56672808214031	9.86472252949297	3.7834811883712	0.0517791030751198	0.535040692658716
"ENSG00000117592"	3.56672808214031	9.86472252949297	3.7834811883712	0.0517791030751198	0.535040692658716
"ENSG00000090013"	3.56513864659311	9.8646946726542	3.78047565102176	0.0518721639551151	0.535040692658716
"ENSG00000163682"	0.558717561094473	12.6334496559575	3.68874560138244	0.0563778250148753	0.535040692658716
"ENSG00000113552"	-3.52239817841678	9.86464935213877	3.6015415702843	0.0577447652280179	0.535040692658716
"ENSG00000102096"	-3.52132377166392	9.86462999874623	3.59958130097049	0.057812877039226	0.535040692658716
"ENSG00000133574"	-3.52132377166392	9.86462999874623	3.59958130097049	0.057812877039226	0.535040692658716
"ENSG00000008018"	-3.52114439476778	9.86462676010869	3.59925390388303	0.057824261141842	0.535040692658716
"ENSG00000110958"	-3.52114439476778	9.86462676010869	3.59925390388303	0.057824261141842	0.535040692658716
"ENSG00000162236"	-3.52114439476778	9.86462676010869	3.59925390388303	0.057824261141842	0.535040692658716
"ENSG00000181029"	-3.52096503294288	9.86462352147827	3.59892655944002	0.057835645794613	0.535040692658716
"ENSG00000182487"	-3.52096503294288	9.86462352147827	3.59892655944002	0.057835645794613	0.535040692658716
"ENSG00000137841"	-3.5207867720519	9.86462032214523	3.59860187479034	0.0578469402950098	0.535040692658716
"ENSG00000186298"	-3.5206074403969	9.86461708352895	3.59827463532378	0.0578583260381866	0.535040692658716
"ENSG00000101084"	-3.52042812381	9.86461384491978	3.59794744846902	0.0578697123308455	0.535040692658716
"ENSG00000113558"	-3.52042812381	9.86461384491978	3.59794744846902	0.0578697123308455	0.535040692658716
"ENSG00000188186"	-3.52024990824462	9.86461064560774	3.59762292053694	0.0578810084428854	0.535040692658716
"ENSG00000240247"	-3.52024990824462	9.86461064560774	3.59762292053694	0.0578810084428854	0.535040692658716
"ENSG00000103266"	-3.52024882229016	9.86461060631772	3.5976203142152	0.0578810991727617	0.535040692658716
"ENSG00000115234"	-3.52024882229016	9.86461060631772	3.5976203142152	0.0578810991727617	0.535040692658716
"ENSG00000134825"	-3.52024882229016	9.86461060631772	3.5976203142152	0.0578810991727617	0.535040692658716
"ENSG00000170876"	-3.5200706218213	9.86460740701271	3.59729583859346	0.0578923958246112	0.535040692658716
"ENSG00000100591"	-3.51971209416855	9.86460092984399	3.59664183243329	0.0579151722342658	0.535040692658716
"ENSG00000100345"	-2.3828696874412	10.1865078510687	3.38064608957141	0.0659855006199579	0.535040692658716
"ENSG00000130592"	-2.38051040294964	10.1865259437725	3.37403361590451	0.0662507368225402	0.535040692658716
"ENSG00000063046"	-2.3801784031155	10.1865195230307	3.37309825390843	0.0662883474307774	0.535040692658716
"ENSG00000149806"	-0.792046433656681	11.6973806984603	3.43471092717619	0.067021458528064	0.535040692658716
"ENSG00000198804"	0.792522791578318	11.6462378808851	3.34591780513546	0.0711170755030763	0.535040692658716
"ENSG00000233927"	-0.597457526431356	12.1684362939928	2.88608604117074	0.0904341498056616	0.535040692658716
"ENSG00000183283"	2.26201503935303	10.1128064899715	2.82761581838848	0.0926761655458926	0.535040692658716
"ENSG00000185883"	2.25804754174166	10.1127101848757	2.8177451408633	0.0932476430775524	0.535040692658716
"ENSG00000087088"	2.25219593124344	10.1126396146599	2.80347753178694	0.0940804711178491	0.535040692658716
"ENSG00000186350"	3.20016451438243	9.77173947222951	2.7688023339991	0.0961384684784248	0.535040692658716
"ENSG00000235354"	3.20016451438243	9.77173947222951	2.7688023339991	0.0961384684784248	0.535040692658716
"ENSG00000101150"	3.19765275141245	9.77169763862418	2.76531856818215	0.0963479270835664	0.535040692658716
"ENSG00000172428"	3.19765275141245	9.77169763862418	2.76531856818215	0.0963479270835664	0.535040692658716
"ENSG00000198746"	3.19765275141245	9.77169763862418	2.76531856818215	0.0963479270835664	0.535040692658716
"ENSG00000012822"	3.19599573453833	9.77166976198751	2.76301506082345	0.0964866966605465	0.535040692658716
"ENSG00000100600"	3.19599573453833	9.77166976198751	2.76301506082345	0.0964866966605465	0.535040692658716
"ENSG00000113648"	3.19599573453833	9.77166976198751	2.76301506082345	0.0964866966605465	0.535040692658716
"ENSG00000072818"	3.19514426288988	9.77165580620983	2.76184288822236	0.0965573951405068	0.535040692658716
"ENSG00000107263"	3.19514426288988	9.77165580620983	2.76184288822236	0.0965573951405068	0.535040692658716
"ENSG00000109099"	3.19514426288988	9.77165580620983	2.76184288822236	0.0965573951405068	0.535040692658716
"ENSG00000110514"	3.19514426288988	9.77165580620983	2.76184288822236	0.0965573951405068	0.535040692658716
"ENSG00000125818"	3.19514426288988	9.77165580620983	2.76184288822236	0.0965573951405068	0.535040692658716
"ENSG00000130723"	3.19514426288988	9.77165580620983	2.76184288822236	0.0965573951405068	0.535040692658716
"ENSG00000168397"	3.19514426288988	9.77165580620983	2.76184288822236	0.0965573951405068	0.535040692658716
"ENSG00000170632"	3.19514426288988	9.77165580620983	2.76184288822236	0.0965573951405068	0.535040692658716
"ENSG00000164733"	-0.768685851512675	11.5370358168563	2.86462585174526	0.0966318897805251	0.535040692658716
"ENSG00000013441"	3.19348938132726	9.7716279303662	2.75954470340375	0.0966961718821007	0.535040692658716
"ENSG00000072401"	3.19348938132726	9.7716279303662	2.75954470340375	0.0966961718821007	0.535040692658716
"ENSG00000102007"	3.19348938132726	9.7716279303662	2.75954470340375	0.0966961718821007	0.535040692658716
"ENSG00000119048"	3.19348938132726	9.7716279303662	2.75954470340375	0.0966961718821007	0.535040692658716
"ENSG00000136240"	3.19348938132726	9.7716279303662	2.75954470340375	0.0966961718821007	0.535040692658716
"ENSG00000165916"	3.19348938132726	9.7716279303662	2.75954470340375	0.0966961718821007	0.535040692658716
"ENSG00000168374"	3.19348938132726	9.7716279303662	2.75954470340375	0.0966961718821007	0.535040692658716
"ENSG00000169583"	3.19348938132726	9.7716279303662	2.75954470340375	0.0966961718821007	0.535040692658716
"ENSG00000172115"	3.19348938132726	9.7716279303662	2.75954470340375	0.0966961718821007	0.535040692658716
"ENSG00000272047"	3.19348938132726	9.7716279303662	2.75954470340375	0.0966961718821007	0.535040692658716
"ENSG00000122034"	3.19183589214047	9.77160005505062	2.75725002222097	0.0968349539649307	0.535040692658716
"ENSG00000168288"	3.19183589214047	9.77160005505062	2.75725002222097	0.0968349539649307	0.535040692658716
"ENSG00000177666"	3.19183589214047	9.77160005505062	2.75725002222097	0.0968349539649307	0.535040692658716
"ENSG00000228300"	3.19183589214047	9.77160005505062	2.75725002222097	0.0968349539649307	0.535040692658716
"ENSG00000260314"	3.19183589214047	9.77160005505062	2.75725002222097	0.0968349539649307	0.535040692658716
"ENSG00000065809"	3.19098629402184	9.77158609993574	2.75608238939865	0.0969056556069464	0.535040692658716
"ENSG00000100519"	3.19098629402184	9.77158609993574	2.75608238939865	0.0969056556069464	0.535040692658716
"ENSG00000123384"	3.19098629402184	9.77158609993574	2.75608238939865	0.0969056556069464	0.535040692658716
"ENSG00000129625"	3.19098629402184	9.77158609993574	2.75608238939865	0.0969056556069464	0.535040692658716
"ENSG00000133704"	3.18933493470895	9.77155822541312	2.75379300295945	0.0970444442237058	0.535040692658716
"ENSG00000134333"	3.18933493470895	9.77155822541312	2.75379300295945	0.0970444442237058	0.535040692658716
"ENSG00000153113"	3.18933493470895	9.77155822541312	2.75379300295945	0.0970444442237058	0.535040692658716
"ENSG00000126432"	3.1876849643132	9.7715303514185	2.75150710195152	0.0971832377623776	0.535040692658716
"ENSG00000145860"	3.1876849643132	9.7715303514185	2.75150710195152	0.0971832377623776	0.535040692658716
"ENSG00000169371"	3.1876849643132	9.7715303514185	2.75150710195152	0.0971832377623776	0.535040692658716
"ENSG00000184924"	3.1876849643132	9.7715303514185	2.75150710195152	0.0971832377623776	0.535040692658716
"ENSG00000187514"	-0.803311036881186	11.388259279653	2.71311754681853	0.104543296339344	0.535040692658716
"ENSG00000147274"	-3.14829162389998	9.77154861794748	2.62321572428366	0.105331371840647	0.535040692658716
"ENSG00000129292"	-3.14773404063726	9.77153893467341	2.62246953644423	0.105380897875713	0.535040692658716
"ENSG00000132589"	-3.14773404063726	9.77153893467341	2.62246953644423	0.105380897875713	0.535040692658716
"ENSG00000162413"	-3.14773404063726	9.77153893467341	2.62246953644423	0.105380897875713	0.535040692658716
"ENSG00000172053"	-3.14773404063726	9.77153893467341	2.62246953644423	0.105380897875713	0.535040692658716
"ENSG00000256594"	-3.14773404063726	9.77153893467341	2.62246953644423	0.105380897875713	0.535040692658716
"ENSG00000100453"	-3.14754775890625	9.77153569379506	2.62222014529976	0.105397456174521	0.535040692658716
"ENSG00000108848"	-3.14754775890625	9.77153569379506	2.62222014529976	0.105397456174521	0.535040692658716
"ENSG00000130402"	-3.14754775890625	9.77153569379506	2.62222014529976	0.105397456174521	0.535040692658716
"ENSG00000163219"	-3.14754775890625	9.77153569379506	2.62222014529976	0.105397456174521	0.535040692658716
"ENSG00000172932"	-3.14754775890625	9.77153569379506	2.62222014529976	0.105397456174521	0.535040692658716
"ENSG00000173209"	-3.14754775890625	9.77153569379506	2.62222014529976	0.105397456174521	0.535040692658716
"ENSG00000177105"	-3.14754775890625	9.77153569379506	2.62222014529976	0.105397456174521	0.535040692658716
"ENSG00000198574"	-3.14754775890625	9.77153569379506	2.62222014529976	0.105397456174521	0.535040692658716
"ENSG00000105063"	-3.1471766174708	9.77152925146303	2.62172373753454	0.105430423605212	0.535040692658716
"ENSG00000171634"	-3.1471766174708	9.77152925146303	2.62172373753454	0.105430423605212	0.535040692658716
"ENSG00000105223"	-3.1469903891148	9.77152601060599	2.62147447627391	0.105446981806272	0.535040692658716
"ENSG00000108639"	-3.1469903891148	9.77152601060599	2.62147447627391	0.105446981806272	0.535040692658716
"ENSG00000118785"	-3.1469903891148	9.77152601060599	2.62147447627391	0.105446981806272	0.535040692658716
"ENSG00000123091"	-3.1469903891148	9.77152601060599	2.62147447627391	0.105446981806272	0.535040692658716
"ENSG00000125995"	-3.1469903891148	9.77152601060599	2.62147447627391	0.105446981806272	0.535040692658716
"ENSG00000143368"	-3.1469903891148	9.77152601060599	2.62147447627391	0.105446981806272	0.535040692658716
"ENSG00000171861"	-3.1469903891148	9.77152601060599	2.62147447627391	0.105446981806272	0.535040692658716
"ENSG00000115053"	-3.14680417855366	9.77152276975608	2.62122525838826	0.105463539976128	0.535040692658716
"ENSG00000143543"	-3.14680417855366	9.77152276975608	2.62122525838826	0.105463539976128	0.535040692658716
"ENSG00000147123"	-3.14680417855366	9.77152276975608	2.62122525838826	0.105463539976128	0.535040692658716
"ENSG00000180096"	-3.14680417855366	9.77152276975608	2.62122525838826	0.105463539976128	0.535040692658716
"ENSG00000183291"	-3.14680417855366	9.77152276975608	2.62122525838826	0.105463539976128	0.535040692658716
"ENSG00000108854"	-3.14661935434589	9.77151956831633	2.62097832727939	0.105479949022667	0.535040692658716
"ENSG00000173327"	-3.14661935434589	9.77151956831633	2.62097832727939	0.105479949022667	0.535040692658716
"ENSG00000100129"	-3.14643317934677	9.7715163274806	2.62072919581078	0.105496507123814	0.535040692658716
"ENSG00000106609"	-3.14643317934677	9.7715163274806	2.62072919581078	0.105496507123814	0.535040692658716
"ENSG00000180448"	-3.14643317934677	9.7715163274806	2.62072919581078	0.105496507123814	0.535040692658716
"ENSG00000047315"	-3.14624702213647	9.771513086652	2.62048010768652	0.10551306519303	0.535040692658716
"ENSG00000102144"	-3.14624702213647	9.771513086652	2.62048010768652	0.10551306519303	0.535040692658716
"ENSG00000128789"	-3.14624702213647	9.771513086652	2.62048010768652	0.10551306519303	0.535040692658716
"ENSG00000139343"	-3.14624702213647	9.771513086652	2.62048010768652	0.10551306519303	0.535040692658716
"ENSG00000143815"	-3.14624702213647	9.771513086652	2.62048010768652	0.10551306519303	0.535040692658716
"ENSG00000183617"	-3.14624702213647	9.771513086652	2.62048010768652	0.10551306519303	0.535040692658716
"ENSG00000185024"	-3.14624702213647	9.771513086652	2.62048010768652	0.10551306519303	0.535040692658716
"ENSG00000185650"	-3.14624702213647	9.771513086652	2.62048010768652	0.10551306519303	0.535040692658716
"ENSG00000028137"	-3.14606088271298	9.77150984583053	2.62023106289639	0.105529623230073	0.535040692658716
"ENSG00000112149"	-3.14606088271298	9.77150984583053	2.62023106289639	0.105529623230073	0.535040692658716
"ENSG00000142655"	-3.14606088271298	9.77150984583053	2.62023106289639	0.105529623230073	0.535040692658716
"ENSG00000164463"	-3.14606088271298	9.77150984583053	2.62023106289639	0.105529623230073	0.535040692658716
"ENSG00000158869"	-1.57266120214979	10.5084522653042	2.60740293833848	0.106386381704696	0.535040692658716
"ENSG00000206503"	-1.56928543687768	10.5084446643604	2.59636273952432	0.10712984003745	0.535040692658716
