Reference	C1	C2	C3	IR1	IR2	IR3
ENST00000245414	1.0	1.0	0.0	2.0	1.0	0.0
ENST00000556438	1.0	3.0	0.0	3.0	3.0	0.0
ENST00000380649	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000303305	1.0	1.0	0.0	2.0	2.0	1.0
ENST00000237530	1.0	0.0	0.0	0.0	0.0	1.0
ENST00000228865	1.0	0.0	0.0	0.0	1.0	1.0
ENST00000383102	1.0	0.0	0.0	1.0	3.0	0.0
ENST00000390645	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000233154	1.0	0.0	1.0	0.0	0.0	1.0
ENST00000313334	1.0	1.0	0.0	0.0	0.0	0.0
ENST00000480683	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000304478	1.0	1.0	1.0	0.0	0.0	0.0
ENST00000175091	1.0	0.0	0.0	2.0	0.0	1.0
ENST00000397558	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000295743	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000533683	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000309315	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000361441	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000444908	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000325167	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000279242	1.0	0.0	0.0	0.0	2.0	0.0
ENST00000336458	1.0	1.0	0.0	1.0	0.0	0.0
ENST00000389857	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000507297	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000610897	1.0	0.0	1.0	0.0	0.0	1.0
ENST00000633378	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000299424	1.0	0.0	0.0	1.0	0.0	2.0
ENST00000615285	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000392320	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000301071	1.0	0.0	0.0	1.0	1.0	0.0
ENST00000582401	1.0	4.0	1.0	0.0	1.0	2.0
ENST00000395366	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000349721	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000357606	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000262187	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000348943	1.0	1.0	0.0	1.0	0.0	0.0
ENST00000326925	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000314583	1.0	0.0	1.0	0.0	0.0	0.0
ENST00000419869	1.0	0.0	0.0	1.0	0.0	0.0
ENST00000361183	1.0	0.0	0.0	0.0	0.0	1.0
ENST00000270824	1.0	1.0	0.0	0.0	1.0	0.0
ENST00000329970	1.0	1.0	0.0	0.0	0.0	0.0
ENST00000447274	1.0	0.0	2.0	0.0	0.0	0.0
ENST00000617886	1.0	0.0	0.0	0.0	0.0	1.0
ENST00000411565	1.0	0.0	0.0	0.0	1.0	0.0
ENST00000389707	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000612534	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000286364	1.0	0.0	0.0	0.0	1.0	0.0
ENST00000476467	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000413936	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000374639	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000617998	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000267859	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000580758	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000373313	1.0	0.0	1.0	1.0	2.0	0.0
ENST00000292577	1.0	0.0	1.0	0.0	0.0	0.0
ENST00000417037	1.0	0.0	0.0	0.0	1.0	1.0
ENST00000259050	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000310442	1.0	0.0	0.0	1.0	0.0	0.0
ENST00000585839	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000019019	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000474221	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000262482	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000399921	1.0	1.0	0.0	0.0	0.0	0.0
ENST00000217515	1.0	0.0	0.0	0.0	0.0	1.0
ENST00000371873	1.0	0.0	0.0	0.0	0.0	1.0
ENST00000452208	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000476371	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000251849	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000377710	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000616140	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000216218	1.0	0.0	0.0	0.0	1.0	0.0
ENST00000610726	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000221855	1.0	0.0	0.0	1.0	0.0	0.0
ENST00000460593	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000262510	1.0	0.0	0.0	1.0	0.0	0.0
ENST00000266659	1.0	0.0	0.0	1.0	0.0	0.0
ENST00000360004	1.0	1.0	2.0	1.0	1.0	2.0
ENST00000313835	1.0	0.0	0.0	0.0	1.0	0.0
ENST00000394804	1.0	0.0	1.0	0.0	0.0	1.0
ENST00000368961	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000529924	1.0	0.0	1.0	0.0	0.0	0.0
ENST00000370109	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000487535	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000373129	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000368485	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000252699	1.0	0.0	2.0	0.0	0.0	0.0
ENST00000447204	1.0	1.0	0.0	1.0	1.0	0.0
ENST00000331495	1.0	0.0	0.0	0.0	1.0	1.0
ENST00000333213	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000267115	1.0	0.0	0.0	0.0	1.0	0.0
ENST00000611170	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000306384	1.0	0.0	1.0	1.0	1.0	0.0
ENST00000610638	1.0	0.0	1.0	0.0	1.0	0.0
ENST00000282488	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000251376	1.0	0.0	0.0	1.0	0.0	0.0
ENST00000366516	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000366592	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000334690	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000370630	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000216037	1.0	3.0	0.0	0.0	0.0	1.0
ENST00000366718	1.0	2.0	1.0	0.0	0.0	0.0
ENST00000322217	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000375706	1.0	0.0	1.0	0.0	0.0	0.0
ENST00000370641	1.0	1.0	1.0	2.0	0.0	1.0
ENST00000263125	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000412663	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000400100	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000533897	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000359801	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000457451	1.0	0.0	0.0	0.0	1.0	0.0
ENST00000297109	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000591254	1.0	0.0	0.0	0.0	1.0	0.0
ENST00000265192	1.0	0.0	0.0	1.0	0.0	0.0
ENST00000613167	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000409544	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000237853	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000267549	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000490103	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000356978	1.0	3.0	0.0	2.0	1.0	0.0
ENST00000414262	1.0	1.0	0.0	0.0	0.0	2.0
ENST00000370081	1.0	3.0	1.0	4.0	1.0	0.0
ENST00000425130	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000332822	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000592790	1.0	0.0	0.0	1.0	0.0	0.0
ENST00000395676	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000367602	1.0	0.0	0.0	0.0	1.0	0.0
ENST00000543538	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000510267	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000361835	1.0	1.0	0.0	0.0	0.0	0.0
ENST00000267970	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000610416	1.0	1.0	0.0	1.0	0.0	0.0
ENST00000613903	1.0	1.0	0.0	1.0	0.0	0.0
ENST00000247178	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000541960	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000626223	1.0	0.0	0.0	1.0	0.0	0.0
ENST00000427841	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000528089	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000467688	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000412243	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000263708	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000298552	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000396505	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000248114	1.0	0.0	0.0	0.0	1.0	0.0
ENST00000409202	1.0	0.0	1.0	0.0	0.0	0.0
ENST00000430694	1.0	0.0	1.0	4.0	1.0	0.0
ENST00000250894	1.0	0.0	1.0	0.0	0.0	0.0
ENST00000590965	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000268389	1.0	2.0	1.0	1.0	0.0	1.0
ENST00000258711	1.0	0.0	1.0	0.0	0.0	1.0
ENST00000276816	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000264230	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000219302	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000389378	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000425707	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000541412	1.0	1.0	1.0	0.0	1.0	3.0
ENST00000379158	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000610516	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000629095	1.0	0.0	0.0	1.0	0.0	0.0
ENST00000296140	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000408965	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000377891	1.0	0.0	1.0	1.0	0.0	0.0
ENST00000456012	1.0	1.0	2.0	1.0	4.0	2.0
ENST00000456057	1.0	2.0	1.0	2.0	0.0	0.0
ENST00000265753	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000591090	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000228825	1.0	1.0	1.0	3.0	3.0	2.0
ENST00000396076	1.0	0.0	0.0	1.0	1.0	1.0
ENST00000215570	1.0	0.0	2.0	0.0	0.0	1.0
ENST00000262193	1.0	1.0	2.0	0.0	0.0	0.0
ENST00000583931	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000391750	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000222005	1.0	0.0	0.0	0.0	0.0	1.0
ENST00000209873	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000313093	1.0	2.0	0.0	0.0	0.0	0.0
ENST00000357436	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000264552	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000409511	1.0	0.0	0.0	1.0	1.0	0.0
ENST00000469640	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000483559	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000557016	1.0	0.0	2.0	0.0	2.0	2.0
ENST00000331728	1.0	1.0	0.0	0.0	0.0	0.0
ENST00000269321	1.0	2.0	2.0	1.0	0.0	0.0
ENST00000331666	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000382743	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000377038	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000324366	1.0	0.0	0.0	0.0	1.0	0.0
ENST00000341567	1.0	2.0	0.0	0.0	0.0	0.0
ENST00000220003	1.0	3.0	1.0	1.0	0.0	1.0
ENST00000447404	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000271628	1.0	1.0	1.0	0.0	0.0	0.0
ENST00000436346	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000251241	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000396081	1.0	0.0	1.0	0.0	0.0	0.0
ENST00000366962	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000436636	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000303210	1.0	1.0	2.0	0.0	0.0	1.0
ENST00000339697	1.0	0.0	0.0	1.0	1.0	0.0
ENST00000392533	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000330398	1.0	0.0	0.0	0.0	3.0	2.0
ENST00000304056	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000591899	1.0	0.0	1.0	1.0	3.0	0.0
ENST00000371142	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000268220	1.0	1.0	0.0	1.0	0.0	0.0
ENST00000323460	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000318364	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000458385	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000306917	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000356887	1.0	0.0	0.0	1.0	0.0	0.0
ENST00000237380	1.0	0.0	1.0	1.0	0.0	0.0
ENST00000357325	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000360244	1.0	0.0	0.0	1.0	0.0	0.0
ENST00000466490	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000216416	1.0	0.0	0.0	0.0	1.0	0.0
ENST00000399878	1.0	0.0	0.0	0.0	0.0	1.0
ENST00000525522	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000372876	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000393599	1.0	0.0	1.0	0.0	0.0	0.0
ENST00000389017	1.0	0.0	0.0	0.0	0.0	1.0
ENST00000397512	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000368309	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000395323	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000400033	1.0	0.0	2.0	1.0	0.0	1.0
ENST00000603197	1.0	1.0	1.0	1.0	1.0	1.0
ENST00000556754	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000535334	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000253144	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000221233	1.0	0.0	0.0	1.0	0.0	0.0
ENST00000373783	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000162749	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000394660	1.0	0.0	0.0	1.0	0.0	0.0
ENST00000575474	1.0	0.0	0.0	2.0	0.0	0.0
ENST00000588282	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000366783	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000577454	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000301488	1.0	0.0	0.0	0.0	2.0	0.0
ENST00000582730	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000367001	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000290277	1.0	0.0	0.0	1.0	0.0	0.0
ENST00000361567	1.0	3.0	2.0	4.0	1.0	3.0
ENST00000412331	1.0	2.0	0.0	0.0	0.0	0.0
ENST00000374050	1.0	3.0	1.0	0.0	0.0	0.0
ENST00000375664	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000371370	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000356136	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000359707	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000353364	1.0	0.0	0.0	1.0	0.0	0.0
ENST00000358514	1.0	1.0	1.0	0.0	3.0	1.0
ENST00000361763	1.0	0.0	3.0	3.0	0.0	0.0
ENST00000350427	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000263867	1.0	1.0	1.0	0.0	3.0	1.0
ENST00000463679	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000263092	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000380262	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000539140	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000435844	1.0	0.0	1.0	0.0	1.0	1.0
ENST00000622179	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000256001	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000472837	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000377819	1.0	2.0	0.0	0.0	0.0	0.0
ENST00000219281	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000498907	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000600997	1.0	0.0	0.0	0.0	1.0	1.0
ENST00000343666	1.0	1.0	0.0	1.0	0.0	0.0
ENST00000586646	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000369534	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000231948	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000245908	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000409939	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000321407	1.0	0.0	0.0	0.0	0.0	1.0
ENST00000616056	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000438836	1.0	0.0	0.0	1.0	0.0	0.0
ENST00000295685	1.0	0.0	2.0	1.0	0.0	0.0
ENST00000388968	1.0	0.0	0.0	0.0	0.0	1.0
ENST00000215781	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000370372	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000222122	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000221922	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000352035	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000218388	1.0	2.0	1.0	1.0	0.0	0.0
ENST00000304685	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000370179	1.0	0.0	0.0	1.0	2.0	0.0
ENST00000374450	1.0	0.0	0.0	1.0	0.0	0.0
ENST00000269445	1.0	0.0	0.0	0.0	1.0	0.0
ENST00000433436	1.0	2.0	0.0	0.0	1.0	0.0
ENST00000254286	1.0	0.0	0.0	0.0	0.0	1.0
ENST00000221930	1.0	0.0	2.0	0.0	0.0	2.0
ENST00000396265	1.0	0.0	0.0	0.0	0.0	1.0
ENST00000369168	1.0	1.0	1.0	0.0	1.0	0.0
ENST00000259037	1.0	0.0	0.0	1.0	0.0	0.0
ENST00000233893	1.0	0.0	0.0	0.0	1.0	0.0
ENST00000394457	1.0	0.0	2.0	0.0	0.0	0.0
ENST00000370152	1.0	0.0	0.0	0.0	1.0	1.0
ENST00000327787	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000452085	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000377474	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000368605	1.0	0.0	1.0	0.0	0.0	0.0
ENST00000297107	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000492556	1.0	1.0	0.0	0.0	1.0	0.0
ENST00000219235	1.0	1.0	0.0	0.0	0.0	1.0
ENST00000216341	1.0	0.0	2.0	0.0	0.0	0.0
ENST00000612753	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000478916	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000433473	1.0	0.0	2.0	1.0	0.0	0.0
ENST00000379565	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000330137	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000249269	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000376263	1.0	0.0	0.0	0.0	1.0	0.0
ENST00000405666	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000571351	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000335934	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000411529	1.0	0.0	1.0	0.0	2.0	1.0
ENST00000377524	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000302472	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000367249	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000478389	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000261800	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000331334	1.0	1.0	0.0	0.0	0.0	0.0
ENST00000248594	1.0	0.0	1.0	2.0	0.0	0.0
ENST00000323013	1.0	0.0	1.0	0.0	0.0	0.0
ENST00000324817	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000376573	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000544844	1.0	0.0	2.0	1.0	0.0	1.0
ENST00000263270	1.0	3.0	1.0	0.0	1.0	0.0
ENST00000378799	1.0	1.0	1.0	0.0	1.0	0.0
ENST00000392325	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000222574	1.0	0.0	1.0	0.0	0.0	0.0
ENST00000594759	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000344035	1.0	1.0	2.0	0.0	0.0	0.0
ENST00000261733	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000509659	1.0	0.0	1.0	0.0	0.0	0.0
ENST00000496387	1.0	0.0	0.0	1.0	0.0	0.0
ENST00000409587	1.0	1.0	1.0	0.0	0.0	0.0
ENST00000598273	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000374379	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000379719	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000422318	1.0	0.0	1.0	0.0	0.0	0.0
ENST00000360658	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000229595	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000300289	1.0	2.0	1.0	0.0	1.0	3.0
ENST00000360299	1.0	0.0	0.0	0.0	0.0	2.0
ENST00000492758	1.0	0.0	2.0	1.0	0.0	1.0
ENST00000271450	1.0	0.0	0.0	0.0	0.0	1.0
ENST00000268099	1.0	1.0	0.0	0.0	2.0	0.0
ENST00000301738	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000359308	1.0	2.0	1.0	0.0	0.0	1.0
ENST00000374517	1.0	2.0	4.0	2.0	4.0	3.0
ENST00000447750	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000392807	1.0	0.0	1.0	1.0	0.0	0.0
ENST00000261254	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000379359	1.0	0.0	1.0	1.0	0.0	0.0
ENST00000622186	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000610020	1.0	0.0	1.0	0.0	0.0	0.0
ENST00000310144	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000393196	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000594092	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000301665	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000269576	1.0	0.0	1.0	0.0	0.0	0.0
ENST00000282412	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000266563	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000585156	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000344229	1.0	1.0	0.0	1.0	0.0	1.0
ENST00000505625	1.0	0.0	0.0	0.0	0.0	1.0
ENST00000371648	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000414706	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000268379	1.0	2.0	0.0	1.0	0.0	0.0
ENST00000313421	1.0	0.0	0.0	0.0	2.0	0.0
ENST00000311936	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000400093	1.0	1.0	0.0	0.0	0.0	0.0
ENST00000263736	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000372806	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000294072	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000304677	1.0	0.0	0.0	0.0	0.0	1.0
ENST00000215829	1.0	1.0	1.0	0.0	0.0	1.0
ENST00000480842	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000312648	1.0	0.0	0.0	2.0	1.0	0.0
ENST00000281631	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000278671	1.0	0.0	0.0	0.0	0.0	1.0
ENST00000552564	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000492406	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000401959	1.0	1.0	0.0	0.0	0.0	1.0
ENST00000380535	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000355680	1.0	0.0	0.0	0.0	0.0	1.0
ENST00000486520	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000234590	1.0	1.0	2.0	3.0	0.0	1.0
ENST00000320895	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000381297	1.0	1.0	0.0	0.0	0.0	0.0
ENST00000489266	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000294179	1.0	1.0	2.0	0.0	0.0	0.0
ENST00000300026	1.0	1.0	0.0	1.0	1.0	0.0
ENST00000444376	1.0	2.0	0.0	2.0	0.0	1.0
ENST00000368324	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000544484	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000400217	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000378953	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000393375	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000472174	1.0	2.0	2.0	0.0	2.0	1.0
ENST00000270066	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000323571	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000616321	1.0	0.0	1.0	2.0	4.0	1.0
ENST00000321250	1.0	0.0	0.0	1.0	1.0	0.0
ENST00000292147	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000533986	1.0	0.0	1.0	0.0	0.0	0.0
ENST00000282570	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000446023	1.0	0.0	0.0	0.0	0.0	1.0
ENST00000533626	1.0	0.0	0.0	1.0	0.0	0.0
ENST00000373509	1.0	0.0	0.0	0.0	1.0	0.0
ENST00000550948	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000434410	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000400341	1.0	7.0	2.0	3.0	3.0	7.0
ENST00000339659	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000357732	1.0	1.0	0.0	0.0	0.0	2.0
ENST00000563871	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000379205	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000466449	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000271375	1.0	0.0	0.0	0.0	2.0	0.0
ENST00000431002	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000395710	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000429094	1.0	0.0	0.0	0.0	1.0	0.0
ENST00000300870	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000341105	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000272065	1.0	0.0	0.0	1.0	0.0	0.0
ENST00000261637	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000246551	1.0	1.0	0.0	1.0	0.0	1.0
ENST00000265866	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000348547	1.0	0.0	1.0	1.0	0.0	0.0
ENST00000053867	1.0	1.0	3.0	2.0	1.0	0.0
ENST00000253110	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000397033	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000468695	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000304189	1.0	0.0	0.0	1.0	0.0	1.0
ENST00000503004	1.0	1.0	0.0	0.0	1.0	0.0
ENST00000472710	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000455915	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000374980	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000330964	1.0	1.0	1.0	1.0	5.0	2.0
